rental_ID,user_ID,user_role,gadget_ID,gadget_name,gadget_category,rental_date,return_date,duration_days,daily_rate,total_cost,event_type,recommended_gadget,specific_event,event_priority,event_start_date,event_end_date,days_until_event,days_since_event_start,is_event_day,brand,gadget_subcategory,day_of_week,is_weekend,week_of_season,month,season,hour_of_day,time_period,is_holiday_season,year_level,course,major,has_personal_laptop,total_previous_rentals,avg_rental_duration,preferred_category,price_tier,spec_ram,spec_storage,spec_processor,battery_life,weight_kg,display_size,calculator_type,camera_megapixels,condition,rental_status,late_fee
R00011,U0821,Student,G031,Gadget_31,Camera,2024-12-11 00:00:00,2024-12-16 00:00:00,5,69,345,Regular Week,Laptop,Regular Week,0,2024-12-09 00:00:00,2024-12-14 00:00:00,-2,2,TRUE,Canon,DSLR,Wednesday,FALSE,50,December,Dry,13,Afternoon,TRUE,3,BSIT,Data Science,FALSE,18,5.666666667,Camera,Budget,,,,5,2.89,15.9,,24,Fair,Returned,0
R00012,U0021,Faculty,G037,Gadget_37,Calculator,2024-09-07 00:00:00,2024-09-11 00:00:00,4,445,1780,Regular Week,Laptop,Regular Week,0,2024-09-06 00:00:00,2024-09-11 00:00:00,-1,1,TRUE,Casio,Scientific,Saturday,TRUE,36,September,Rainy,11,Morning,FALSE,,Engineering,Networking,TRUE,8,5.333333333,Calculator,Mid-range,,,,17,2.24,14.7,Scientific,,Excellent,Returned,0
R00013,U0673,Faculty,G011,Gadget_11,Laptop,2024-09-09 00:00:00,2024-09-13 00:00:00,4,185,740,Regular Week,Laptop,Regular Week,0,2024-09-07 00:00:00,2024-09-12 00:00:00,-2,2,TRUE,Dell,Ultrabook,Monday,FALSE,37,September,Rainy,11,Morning,FALSE,,Engineering,Programming,TRUE,27,4.333333333,Laptop,Premium,8GB,1TB,M2,9,1.81,11.8,,,Excellent,Returned,0
R00014,U0489,Faculty,G048,Gadget_48,Projector,2024-06-15 00:00:00,2024-06-21 00:00:00,6,51,306,Regular Week,Laptop,Regular Week,0,2024-06-14 00:00:00,2024-06-19 00:00:00,-1,1,TRUE,Epson,HD Projector,Saturday,TRUE,24,June,Rainy,15,Afternoon,FALSE,,BSIS,Data Science,FALSE,4,4.666666667,Projector,Budget,,,,9,2.01,13,,,Fair,Returned,0
R00015,U0565,Student,G006,Gadget_6,Camera,2024-01-29 00:00:00,2024-02-03 00:00:00,5,151,755,Regular Week,Laptop,Regular Week,0,2024-01-26 00:00:00,2024-01-31 00:00:00,-3,3,TRUE,Canon,DSLR,Monday,FALSE,5,January,Dry,11,Morning,FALSE,2,Engineering,Programming,FALSE,26,5,Camera,Premium,,,,12,1.06,13.7,,48,Fair,Returned,0
R00016,U0428,Student,G031,Gadget_31,Camera,2024-06-27 00:00:00,2024-06-28 00:00:00,1,69,69,Regular Week,Laptop,Regular Week,0,2024-06-25 00:00:00,2024-06-30 00:00:00,-2,2,TRUE,Canon,DSLR,Thursday,FALSE,26,June,Rainy,13,Afternoon,FALSE,2,BSIS,Networking,FALSE,1,4,Camera,Premium,,,,9,1.64,14.1,,24,Good,Returned,0
R00017,U0695,Faculty,G041,Gadget_41,Calculator,2024-06-16 00:00:00,2024-06-21 00:00:00,5,235,1175,Regular Week,Laptop,Regular Week,0,2024-06-15 00:00:00,2024-06-20 00:00:00,-1,1,TRUE,Casio,Scientific,Sunday,TRUE,24,June,Rainy,11,Morning,FALSE,,BSCS,Data Science,TRUE,29,3.666666667,Calculator,Premium,,,,15,1.24,12,Graphing,,Fair,Returned,0
R00018,U0191,Faculty,G013,Gadget_13,Tablet,2024-08-06 00:00:00,2024-08-12 00:00:00,6,358,2148,Regular Week,Laptop,Regular Week,0,2024-08-05 00:00:00,2024-08-10 00:00:00,-1,1,TRUE,Apple,iPad,Tuesday,FALSE,32,August,Rainy,10,Morning,FALSE,,BSIS,Programming,FALSE,18,4,Tablet,Mid-range,,,,17,1.63,14.6,,,Fair,Returned,0
R00019,U0436,Staff,G012,Gadget_12,Tablet,2024-11-22 00:00:00,2024-11-23 00:00:00,1,61,61,Regular Week,Laptop,Regular Week,0,2024-11-20 00:00:00,2024-11-25 00:00:00,-2,2,TRUE,Apple,iPad,Friday,FALSE,47,November,Rainy,15,Afternoon,FALSE,,BSCS,Networking,TRUE,3,4,Tablet,Mid-range,,,,16,2.52,16.4,,,Excellent,Returned,0
R00020,U0993,Student,G021,Gadget_21,Laptop,2024-01-10 00:00:00,2024-01-16 00:00:00,6,312,1872,Regular Week,Laptop,Regular Week,0,2024-01-06 00:00:00,2024-01-11 00:00:00,-4,4,TRUE,Dell,Ultrabook,Wednesday,FALSE,2,January,Dry,14,Afternoon,FALSE,3,BSCS,Networking,FALSE,5,4.333333333,Laptop,Budget,16GB,256GB,Intel i7,12,1.02,15.8,,,Excellent,Returned,0
R00021,U0932,Faculty,G013,Gadget_13,Tablet,2024-04-28 00:00:00,2024-05-02 00:00:00,4,358,1432,Regular Week,Laptop,Regular Week,0,2024-04-25 00:00:00,2024-04-30 00:00:00,-3,3,TRUE,Apple,iPad,Sunday,TRUE,17,April,Dry,10,Morning,TRUE,,BSIS,Programming,TRUE,11,3.666666667,Tablet,Budget,,,,5,1.78,11.6,,,Fair,Returned,0
R00022,U0944,Staff,G043,Gadget_43,Camera,2024-12-03 00:00:00,2024-12-05 00:00:00,2,223,446,Regular Week,Laptop,Regular Week,0,2024-11-30 00:00:00,2024-12-05 00:00:00,-3,3,TRUE,Canon,DSLR,Tuesday,FALSE,49,December,Dry,8,Morning,TRUE,,BSIT,Data Science,FALSE,17,4,Camera,Premium,,,,14,2.03,15.3,,24,Good,Returned,0
R00023,U0373,Staff,G036,Gadget_36,Calculator,2024-11-02 00:00:00,2024-11-07 00:00:00,5,391,1955,Regular Week,Laptop,Regular Week,0,2024-10-30 00:00:00,2024-11-04 00:00:00,-3,3,TRUE,Casio,Scientific,Saturday,TRUE,44,November,Rainy,9,Morning,FALSE,,BSIS,Networking,TRUE,4,3.666666667,Calculator,Mid-range,,,,14,1.3,16.8,Graphing,,Fair,Returned,0
R00024,U0702,Faculty,G011,Gadget_11,Laptop,2024-01-29 00:00:00,2024-02-01 00:00:00,3,185,555,Regular Week,Laptop,Regular Week,0,2024-01-25 00:00:00,2024-01-30 00:00:00,-4,4,TRUE,Dell,Ultrabook,Monday,FALSE,5,January,Dry,14,Afternoon,FALSE,,BSCS,Data Science,TRUE,2,3.333333333,Laptop,Premium,32GB,256GB,Intel i7,5,1.46,15.7,,,Good,Returned,0
R00025,U0052,Staff,G031,Gadget_31,Camera,2024-02-25 00:00:00,2024-03-03 00:00:00,7,69,483,Regular Week,Laptop,Regular Week,0,2024-02-21 00:00:00,2024-02-26 00:00:00,-4,4,TRUE,Canon,DSLR,Sunday,TRUE,8,February,Dry,15,Afternoon,FALSE,,BSCS,Data Science,FALSE,28,5,Camera,Premium,,,,5,2.78,15.8,,24,Excellent,Returned,0
R00026,U0309,Student,G035,Gadget_35,Projector,2024-05-23 00:00:00,2024-05-30 00:00:00,7,376,2632,Regular Week,Laptop,Regular Week,0,2024-05-21 00:00:00,2024-05-26 00:00:00,-2,2,TRUE,Epson,HD Projector,Thursday,FALSE,21,May,Dry,11,Morning,FALSE,3,Engineering,Data Science,FALSE,27,5.666666667,Projector,Mid-range,,,,11,2.93,14.2,,,Fair,Returned,0
R00027,U0056,Student,G017,Gadget_17,Laptop,2024-12-21 00:00:00,2024-12-24 00:00:00,3,443,1329,Regular Week,Laptop,Regular Week,0,2024-12-20 00:00:00,2024-12-25 00:00:00,-1,1,TRUE,Dell,Ultrabook,Saturday,TRUE,51,December,Dry,10,Morning,TRUE,2,Engineering,Programming,FALSE,13,5.666666667,Laptop,Mid-range,8GB,256GB,M2,7,1.07,16.4,,,Excellent,Returned,0
R00028,U0855,Student,G005,Gadget_5,Tablet,2024-12-05 00:00:00,2024-12-10 00:00:00,5,452,2260,Regular Week,Laptop,Regular Week,0,2024-12-02 00:00:00,2024-12-07 00:00:00,-3,3,TRUE,Apple,iPad,Thursday,FALSE,49,December,Dry,9,Morning,TRUE,2,BSCS,Data Science,FALSE,4,5,Tablet,Premium,,,,12,1.35,14.5,,,Good,Returned,0
R00029,U0290,Student,G033,Gadget_33,Tablet,2024-11-03 00:00:00,2024-11-06 00:00:00,3,142,426,Regular Week,Laptop,Regular Week,0,2024-10-31 00:00:00,2024-11-05 00:00:00,-3,3,TRUE,Apple,iPad,Sunday,TRUE,44,November,Rainy,10,Morning,FALSE,3,Engineering,Networking,TRUE,23,3.666666667,Tablet,Mid-range,,,,19,1.69,15,,,Good,Returned,0
R00030,U0702,Staff,G017,Gadget_17,Laptop,2024-06-15 00:00:00,2024-06-19 00:00:00,4,443,1772,Regular Week,Laptop,Regular Week,0,2024-06-11 00:00:00,2024-06-16 00:00:00,-4,4,TRUE,Dell,Ultrabook,Saturday,TRUE,24,June,Rainy,17,Afternoon,FALSE,,BSCS,Programming,TRUE,9,4,Laptop,Budget,16GB,1TB,Intel i7,19,2.42,16.3,,,Excellent,Returned,0
R00031,U0317,Student,G009,Gadget_9,Laptop,2024-03-20 00:00:00,2024-03-24 00:00:00,4,214,856,Exam Week,Scientific Calculator,Exam Week,7,2024-03-16 00:00:00,2024-03-21 00:00:00,-4,4,TRUE,Dell,Ultrabook,Wednesday,FALSE,12,March,Dry,17,Afternoon,FALSE,1,BSIS,Networking,FALSE,7,3.666666667,Laptop,Premium,8GB,1TB,M2,7,2.68,13.9,,,Fair,Returned,0
R00032,U0728,Student,G036,Gadget_36,Calculator,2024-11-05 00:00:00,2024-11-06 00:00:00,1,391,391,Regular Week,Laptop,Regular Week,0,2024-11-04 00:00:00,2024-11-09 00:00:00,-1,1,TRUE,Casio,Scientific,Tuesday,FALSE,45,November,Rainy,9,Morning,FALSE,2,BSIT,Data Science,TRUE,21,3,Calculator,Mid-range,,,,11,1.49,14.8,Scientific,,Excellent,Returned,0
R00033,U0798,Faculty,G012,Gadget_12,Tablet,2024-12-16 00:00:00,2024-12-22 00:00:00,6,61,366,Regular Week,Laptop,Regular Week,0,2024-12-14 00:00:00,2024-12-19 00:00:00,-2,2,TRUE,Apple,iPad,Monday,FALSE,51,December,Dry,12,Morning,TRUE,,Engineering,Data Science,TRUE,4,3.666666667,Tablet,Mid-range,,,,10,1.86,13.3,,,Good,Returned,0
R00034,U0998,Staff,G019,Gadget_19,Projector,2024-08-03 00:00:00,2024-08-06 00:00:00,3,240,720,Regular Week,Laptop,Regular Week,0,2024-08-01 00:00:00,2024-08-06 00:00:00,-2,2,TRUE,Epson,HD Projector,Saturday,TRUE,31,August,Rainy,10,Morning,FALSE,,Engineering,Networking,FALSE,25,3.333333333,Projector,Mid-range,,,,18,1.81,14.6,,,Excellent,Returned,0
R00035,U0198,Staff,G037,Gadget_37,Calculator,2024-01-11 00:00:00,2024-01-13 00:00:00,2,445,890,Regular Week,Laptop,Regular Week,0,2024-01-09 00:00:00,2024-01-14 00:00:00,-2,2,TRUE,Casio,Scientific,Thursday,FALSE,2,January,Dry,9,Morning,FALSE,,BSIT,Programming,TRUE,4,3.666666667,Calculator,Budget,,,,18,2.59,16.8,Graphing,,Excellent,Returned,0
R00036,U0933,Staff,G027,Gadget_27,Laptop,2024-09-04 00:00:00,2024-09-06 00:00:00,2,132,264,Regular Week,Laptop,Regular Week,0,2024-09-02 00:00:00,2024-09-07 00:00:00,-2,2,TRUE,Dell,Ultrabook,Wednesday,FALSE,36,September,Rainy,14,Afternoon,FALSE,,BSIS,Networking,FALSE,23,2.333333333,Laptop,Mid-range,8GB,1TB,M2,8,1.23,14.2,,,Excellent,Returned,0
R00037,U0680,Staff,G042,Gadget_42,Laptop,2024-06-07 00:00:00,2024-06-08 00:00:00,1,219,219,Regular Week,Laptop,Regular Week,0,2024-06-04 00:00:00,2024-06-09 00:00:00,-3,3,TRUE,Dell,Ultrabook,Friday,FALSE,23,June,Rainy,16,Afternoon,FALSE,,Engineering,Programming,FALSE,26,1.666666667,Laptop,Mid-range,32GB,256GB,Intel i5,19,1.64,15.4,,,Excellent,Returned,0
R00038,U0071,Student,G021,Gadget_21,Laptop,2024-09-27 00:00:00,2024-10-02 00:00:00,5,312,1560,Regular Week,Laptop,Regular Week,0,2024-09-26 00:00:00,2024-10-01 00:00:00,-1,1,TRUE,Dell,Ultrabook,Friday,FALSE,39,September,Rainy,13,Afternoon,FALSE,4,BSCS,Programming,FALSE,29,2.666666667,Laptop,Premium,16GB,256GB,Intel i5,11,1.63,11.4,,,Good,Returned,0
R00039,U0758,Staff,G025,Gadget_25,Laptop,2024-01-08 00:00:00,2024-01-09 00:00:00,1,222,222,Regular Week,Laptop,Regular Week,0,2024-01-06 00:00:00,2024-01-11 00:00:00,-2,2,TRUE,Dell,Ultrabook,Monday,FALSE,2,January,Dry,9,Morning,FALSE,,BSIT,Programming,FALSE,28,2.333333333,Laptop,Premium,8GB,512GB,M2,12,2.72,13.7,,,Good,Returned,0
R00040,U0884,Faculty,G008,Gadget_8,Tablet,2024-01-30 00:00:00,2024-01-31 00:00:00,1,63,63,Regular Week,Laptop,Regular Week,0,2024-01-27 00:00:00,2024-02-01 00:00:00,-3,3,TRUE,Apple,iPad,Tuesday,FALSE,5,January,Dry,16,Afternoon,FALSE,,BSIS,Networking,TRUE,6,2.333333333,Tablet,Mid-range,,,,17,1.19,13.1,,,Excellent,Returned,0
R00041,U0654,Staff,G028,Gadget_28,Tablet,2024-05-05 00:00:00,2024-05-09 00:00:00,4,345,1380,Regular Week,Laptop,Regular Week,0,2024-05-02 00:00:00,2024-05-07 00:00:00,-3,3,TRUE,Apple,iPad,Sunday,TRUE,18,May,Dry,11,Morning,FALSE,,BSCS,Networking,TRUE,15,2,Tablet,Premium,,,,9,1.73,11.5,,,Excellent,Returned,0
R00042,U0191,Student,G033,Gadget_33,Tablet,2024-08-14 00:00:00,2024-08-15 00:00:00,1,142,142,Regular Week,Laptop,Regular Week,0,2024-08-13 00:00:00,2024-08-18 00:00:00,-1,1,TRUE,Apple,iPad,Wednesday,FALSE,33,August,Rainy,8,Morning,FALSE,1,BSIS,Data Science,TRUE,12,2,Tablet,Premium,,,,7,1.05,16.4,,,Good,Returned,0
R00043,U0327,Staff,G011,Gadget_11,Laptop,2024-12-04 00:00:00,2024-12-06 00:00:00,2,185,370,Regular Week,Laptop,Regular Week,0,2024-12-03 00:00:00,2024-12-08 00:00:00,-1,1,TRUE,Dell,Ultrabook,Wednesday,FALSE,49,December,Dry,16,Afternoon,TRUE,,BSIS,Data Science,TRUE,24,2.333333333,Laptop,Budget,8GB,1TB,Intel i5,14,1.98,14.6,,,Excellent,Returned,0
R00044,U0330,Staff,G025,Gadget_25,Laptop,2024-11-28 00:00:00,2024-12-01 00:00:00,3,222,666,Regular Week,Laptop,Regular Week,0,2024-11-25 00:00:00,2024-11-30 00:00:00,-3,3,TRUE,Dell,Ultrabook,Thursday,FALSE,48,November,Rainy,15,Afternoon,FALSE,,Engineering,Networking,FALSE,9,2,Laptop,Premium,8GB,1TB,M2,12,1.89,14.2,,,Fair,Returned,0
R00045,U0616,Staff,G008,Gadget_8,Tablet,2024-10-24 00:00:00,2024-10-28 00:00:00,4,63,252,Exam Week,Scientific Calculator,Exam Week,7,2024-10-22 00:00:00,2024-10-27 00:00:00,-2,2,TRUE,Apple,iPad,Thursday,FALSE,43,October,Rainy,15,Afternoon,FALSE,,Engineering,Networking,FALSE,21,3,Tablet,Mid-range,,,,16,2.94,12.3,,,Excellent,Returned,0
R00046,U0042,Student,G047,Gadget_47,Calculator,2024-02-17 00:00:00,2024-02-18 00:00:00,1,110,110,Regular Week,Laptop,Regular Week,0,2024-02-13 00:00:00,2024-02-18 00:00:00,-4,4,TRUE,Casio,Scientific,Saturday,TRUE,7,February,Dry,11,Morning,FALSE,3,Engineering,Programming,TRUE,20,2.666666667,Calculator,Budget,,,,19,1.64,12.7,Graphing,,Good,Returned,0
R00047,U0841,Student,G021,Gadget_21,Laptop,2024-09-07 00:00:00,2024-09-14 00:00:00,7,312,2184,Regular Week,Laptop,Regular Week,0,2024-09-03 00:00:00,2024-09-08 00:00:00,-4,4,TRUE,Dell,Ultrabook,Saturday,TRUE,36,September,Rainy,11,Morning,FALSE,1,BSCS,Programming,TRUE,7,4,Laptop,Premium,16GB,256GB,M2,11,2.69,16.5,,,Good,Returned,0
R00048,U0882,Faculty,G049,Gadget_49,Calculator,2024-01-14 00:00:00,2024-01-19 00:00:00,5,312,1560,Regular Week,Laptop,Regular Week,0,2024-01-10 00:00:00,2024-01-15 00:00:00,-4,4,TRUE,Casio,Scientific,Sunday,TRUE,2,January,Dry,12,Morning,FALSE,,BSIS,Programming,FALSE,20,4.333333333,Calculator,Premium,,,,10,1.22,16,Graphing,,Fair,Returned,0
R00049,U0083,Staff,G042,Gadget_42,Laptop,2024-06-07 00:00:00,2024-06-11 00:00:00,4,219,876,Regular Week,Laptop,Regular Week,0,2024-06-03 00:00:00,2024-06-08 00:00:00,-4,4,TRUE,Dell,Ultrabook,Friday,FALSE,23,June,Rainy,16,Afternoon,FALSE,,Engineering,Data Science,TRUE,9,5.333333333,Laptop,Budget,32GB,256GB,Intel i7,6,2.21,11,,,Fair,Returned,0
R00050,U0577,Staff,G015,Gadget_15,Calculator,2024-04-02 00:00:00,2024-04-06 00:00:00,4,298,1192,Regular Week,Laptop,Regular Week,0,2024-03-29 00:00:00,2024-04-03 00:00:00,-4,4,TRUE,Casio,Scientific,Tuesday,FALSE,14,April,Dry,16,Afternoon,TRUE,,Engineering,Programming,FALSE,13,4.333333333,Calculator,Mid-range,,,,13,2.85,14.2,Graphing,,Good,Returned,0
R00051,U0802,Staff,G006,Gadget_6,Camera,2024-06-27 00:00:00,2024-06-29 00:00:00,2,151,302,Regular Week,Laptop,Regular Week,0,2024-06-23 00:00:00,2024-06-28 00:00:00,-4,4,TRUE,Canon,DSLR,Thursday,FALSE,26,June,Rainy,12,Morning,FALSE,,Engineering,Programming,FALSE,26,3.333333333,Camera,Mid-range,,,,8,1.3,11.6,,48,Good,Returned,0
R00052,U0715,Staff,G006,Gadget_6,Camera,2024-02-29 00:00:00,2024-03-04 00:00:00,4,151,604,Regular Week,Laptop,Regular Week,0,2024-02-25 00:00:00,2024-03-01 00:00:00,-4,4,TRUE,Canon,DSLR,Thursday,FALSE,9,February,Dry,9,Morning,FALSE,,Engineering,Networking,FALSE,12,3.333333333,Camera,Budget,,,,5,2.63,15.3,,32,Excellent,Returned,0
R00053,U0292,Student,G001,Gadget_1,Laptop,2024-08-01 00:00:00,2024-08-06 00:00:00,5,332,1660,Regular Week,Laptop,Regular Week,0,2024-07-31 00:00:00,2024-08-05 00:00:00,-1,1,TRUE,Dell,Ultrabook,Thursday,FALSE,31,August,Rainy,9,Morning,FALSE,3,Engineering,Networking,TRUE,18,3.666666667,Laptop,Budget,8GB,1TB,M2,12,2.85,16.1,,,Excellent,Returned,0
R00054,U0256,Faculty,G045,Gadget_45,Laptop,2024-09-03 00:00:00,2024-09-05 00:00:00,2,415,830,Regular Week,Laptop,Regular Week,0,2024-09-01 00:00:00,2024-09-06 00:00:00,-2,2,TRUE,Dell,Ultrabook,Tuesday,FALSE,36,September,Rainy,15,Afternoon,FALSE,,BSIT,Networking,TRUE,20,3.666666667,Laptop,Premium,16GB,1TB,Intel i5,17,2.77,15.7,,,Excellent,Returned,0
R00055,U0721,Student,G009,Gadget_9,Laptop,2024-10-22 00:00:00,2024-10-26 00:00:00,4,214,856,Exam Week,Scientific Calculator,Exam Week,7,2024-10-21 00:00:00,2024-10-26 00:00:00,-1,1,TRUE,Dell,Ultrabook,Tuesday,FALSE,43,October,Rainy,13,Afternoon,FALSE,1,BSIS,Networking,TRUE,22,3.666666667,Laptop,Mid-range,16GB,512GB,Intel i7,5,2.1,16.1,,,Excellent,Returned,0
R00056,U0302,Staff,G021,Gadget_21,Laptop,2024-05-12 00:00:00,2024-05-13 00:00:00,1,312,312,Regular Week,Laptop,Regular Week,0,2024-05-08 00:00:00,2024-05-13 00:00:00,-4,4,TRUE,Dell,Ultrabook,Sunday,TRUE,19,May,Dry,17,Afternoon,FALSE,,BSIS,Data Science,TRUE,7,2.333333333,Laptop,Budget,8GB,256GB,Intel i7,14,2.54,11.5,,,Fair,Returned,0
R00057,U0490,Faculty,G048,Gadget_48,Projector,2024-05-04 00:00:00,2024-05-09 00:00:00,5,51,255,Regular Week,Laptop,Regular Week,0,2024-05-01 00:00:00,2024-05-06 00:00:00,-3,3,TRUE,Epson,HD Projector,Saturday,TRUE,18,May,Dry,14,Afternoon,FALSE,,Engineering,Networking,TRUE,27,3.333333333,Projector,Budget,,,,13,2.86,16.4,,,Fair,Returned,0
R00058,U0236,Student,G001,Gadget_1,Laptop,2024-07-31 00:00:00,2024-08-07 00:00:00,7,332,2324,Regular Week,Laptop,Regular Week,0,2024-07-29 00:00:00,2024-08-03 00:00:00,-2,2,TRUE,Dell,Ultrabook,Wednesday,FALSE,31,July,Rainy,16,Afternoon,FALSE,1,BSIS,Networking,FALSE,28,4.333333333,Laptop,Premium,8GB,256GB,Intel i5,6,1.22,16.1,,,Excellent,Returned,0
R00059,U0946,Staff,G001,Gadget_1,Laptop,2024-06-06 00:00:00,2024-06-09 00:00:00,3,332,996,Regular Week,Laptop,Regular Week,0,2024-06-04 00:00:00,2024-06-09 00:00:00,-2,2,TRUE,Dell,Ultrabook,Thursday,FALSE,23,June,Rainy,12,Morning,FALSE,,BSIT,Data Science,TRUE,14,5,Laptop,Budget,32GB,256GB,Intel i7,9,2.75,13.6,,,Good,Returned,0
R00060,U0518,Student,G043,Gadget_43,Camera,2024-09-08 00:00:00,2024-09-13 00:00:00,5,223,1115,Regular Week,Laptop,Regular Week,0,2024-09-05 00:00:00,2024-09-10 00:00:00,-3,3,TRUE,Canon,DSLR,Sunday,TRUE,36,September,Rainy,15,Afternoon,FALSE,4,BSCS,Networking,FALSE,10,5,Camera,Mid-range,,,,11,2.01,13.5,,48,Excellent,Returned,0
R00061,U0471,Staff,G044,Gadget_44,Calculator,2024-03-10 00:00:00,2024-03-16 00:00:00,6,112,672,Exam Week,Scientific Calculator,Exam Week,7,2024-03-06 00:00:00,2024-03-11 00:00:00,-4,4,TRUE,Casio,Scientific,Sunday,TRUE,10,March,Dry,10,Morning,FALSE,,Engineering,Networking,FALSE,22,4.666666667,Calculator,Premium,,,,9,1.38,15.1,Graphing,,Excellent,Returned,0
R00062,U0318,Faculty,G021,Gadget_21,Laptop,2024-09-18 00:00:00,2024-09-21 00:00:00,3,312,936,Regular Week,Laptop,Regular Week,0,2024-09-16 00:00:00,2024-09-21 00:00:00,-2,2,TRUE,Dell,Ultrabook,Wednesday,FALSE,38,September,Rainy,13,Afternoon,FALSE,,BSIS,Data Science,FALSE,21,4.666666667,Laptop,Budget,32GB,1TB,Intel i5,14,1.3,12.3,,,Good,Returned,0
